region,price,year,manufacturer,model,cylinders,fuel,odometer
joplin,0,1990.0,toyota,land cruiser ex-5,,other,146819.0
joplin,9500,2013.0,honda,civic,4 cylinders,gas,48244.0
joplin,0,2019.0,ram,1500 classic tradesman,,gas,3265.0
joplin,9000,2013.0,toyota,camry se,4 cylinders,gas,112254.0
joplin,8500,2010.0,hyundai,tucson,,gas,74000.0
joplin,0,2018.0,chevrolet,silverado 1500 ltz 1lz,,gas,67972.0
joplin,500,2008.0,ram,1500,,gas,
joplin,0,2017.0,kia,soul manual,,other,42088.0
joplin,18950,2012.0,chevrolet,silverado 2500hd,8 cylinders,gas,197985.0
joplin,7500,2013.0,toyota,prius hybrid,,gas,
joplin,12995,1959.0,gmc,fleetside,,gas,71000.0
joplin,14495,2009.0,chevrolet,silverado 1500,8 cylinders,gas,
joplin,16995,2009.0,chevrolet,silverado,8 cylinders,gas,
joplin,15499,2014.0,jeep,wrangler,,gas,99000.0
joplin,0,2019.0,toyota,rav4 limited suv,,gas,41105.0
joplin,7000,2005.0,chevrolet,silverado 1500,8 cylinders,gas,204000.0
joplin,0,2020.0,chevrolet,equinox lt 1lt,,gas,11621.0
joplin,29850,2018.0,alfa-romeo,romeo giulia,,gas,12846.0
joplin,19900,2008.0,chevrolet,silverado 2500hd,8 cylinders,gas,128000.0
joplin,3595,2012.0,ford,escape,4 cylinders,gas,213000.0
joplin,31974,2015.0,chevrolet,tahoe,8 cylinders,gas,130012.0
joplin,7500,1984.0,toyota,celica supra,6 cylinders,gas,216000.0
joplin,47495,2017.0,gmc,yukon xl denali 4x4 4dr suv,8 cylinders,gas,51031.0
joplin,35495,2016.0,ford,f-150 platinum 4x4 4dr,8 cylinders,other,94594.0
joplin,32995,2019.0,ford,mustang gt premium 2dr,8 cylinders,gas,25078.0
joplin,11650,2014.0,honda,accord,4 cylinders,gas,100000.0
joplin,5450,2007.0,honda,accord exl,4 cylinders,gas,159000.0
joplin,10800,2002.0,chevrolet,corvette,8 cylinders,gas,145000.0
joplin,7500,2009.0,bmw,335d clean turbo diesel,6 cylinders,diesel,125000.0
joplin,56550,2016.0,,Tesal Model X,other,electric,30000.0
joplin,0,2019.0,toyota,4runner sr5 4wd,,gas,38755.0
joplin,1800,1955.0,chrysler,,8 cylinders,gas,
joplin,6500,2015.0,chevrolet,sonic,4 cylinders,gas,159742.0
joplin,30000,2014.0,ram,2500,8 cylinders,gas,64500.0
joplin,23000,2012.0,ram,3500,6 cylinders,diesel,158003.0
joplin,13500,1994.0,gmc,sierra 1500,8 cylinders,gas,103550.0
joplin,17899,2015.0,chevrolet,silverado 1500,8 cylinders,gas,171000.0
joplin,15000,2013.0,jeep,grand cherokee,6 cylinders,gas,128060.0
joplin,10700,2007.0,chevrolet,silverado 1500,6 cylinders,gas,158000.0
joplin,6750,2012.0,,Blizzard,,gas,
joplin,0,2001.0,mazda,mx-5 miata convertible se,,other,32456.0
joplin,0,2013.0,,Suzuki SX4 LE,,other,49443.0
joplin,3500,2009.0,chevrolet,hhr ls,4 cylinders,gas,141626.0
joplin,0,2019.0,chevrolet,impala premier 2lz,,gas,24825.0
joplin,0,2019.0,ram,1500 classic big horn,,gas,33028.0
joplin,2000,2000.0,honda,civic,4 cylinders,gas,200986.0
joplin,9980,2015.0,mitsubishi,outlander sport,4 cylinders,gas,78651.0
joplin,17500,2016.0,gmc,acadia,6 cylinders,gas,72000.0
joplin,23995,2017.0,ford,f-150 xlt 4x4 4dr supercrew,6 cylinders,gas,145585.0
joplin,11995,2011.0,mercedes-benz,e-class e 350,6 cylinders,gas,113123.0
joplin,19995,2014.0,ram,pickup 1500 lone star,8 cylinders,gas,110238.0
joplin,10900,2008.0,gmc,yukon xl,8 cylinders,gas,179148.0
joplin,33500,2019.0,toyota,avalon touring,6 cylinders,gas,3150.0
joplin,27500,2020.0,kia,sedona,,gas,8978.0
joplin,22556,2017.0,jeep,cherokee,,gas,74860.0
joplin,62500,2019.0,ford,f-350,,diesel,37293.0
joplin,13994,2012.0,ford,f-150,6 cylinders,gas,102123.0
joplin,0,2019.0,chevrolet,silverado 1500 lt 4x4,,gas,7652.0
joplin,18000,1951.0,,4 door sedan,8 cylinders,gas,59165.0
joplin,0,2018.0,toyota,c-hr xle suv,,gas,2824.0
joplin,37990,2018.0,ford,f-150,6 cylinders,gas,1652.0
joplin,0,2019.0,chevrolet,camaro 1lt convertible,,gas,30340.0
joplin,14500,2014.0,,International Prostar,,diesel,
joplin,6900,2014.0,hyundai,veloster,4 cylinders,gas,117000.0
joplin,0,2017.0,ram,1500 big horn 4x4 truck,,gas,29654.0
joplin,18495,2018.0,jeep,renegade sport 4x4 4dr suv,,gas,12443.0
joplin,18995,2017.0,gmc,acadia sle 2 4x4 4dr suv,,gas,104534.0
joplin,17999,2013.0,dodge,durango crew awd 4dr suv,8 cylinders,gas,94879.0
joplin,2250,1982.0,chevrolet,,8 cylinders,gas,
joplin,0,2018.0,nissan,frontier king cab,,other,48534.0
joplin,0,2007.0,toyota,tundra 4wd regular cab,8 cylinders,other,91906.0
joplin,0,2019.0,ford,f-150 xlt truck,,gas,39155.0
joplin,0,2006.0,,All Makes And Models,,other,
joplin,0,2020.0,ford,escape sel awd suv,,gas,5280.0
joplin,34139,2015.0,gmc,sierra 1500,8 cylinders,gas,79837.0
joplin,46238,2014.0,cadillac,cts-v,8 cylinders,gas,39219.0
joplin,0,2020.0,ram,1500 big horn/lone star,,gas,9950.0
"joplin,0,2012.0,ram,""1500 4wd quad cab 140.5"""""",8 cylinders,other,75225.0"
joplin,0,2014.0,mercedes-benz,c-class c 250,,other,19150.0
kansas city,9500,2013.0,chevrolet,volt premium,4 cylinders,hybrid,84500.0
kansas city,4497,2010.0,chevrolet,impala sdn lt,6 cylinders,gas,195564.0
kansas city,3000,2007.0,honda,accord,6 cylinders,gas,200000.0
kansas city,9890,2013.0,ford,f-150 xl,6 cylinders,gas,85000.0
kansas city,900,2007.0,toyota,camry,4 cylinders,gas,260000.0
kansas city,13980,2015.0,kia,cadenza,6 cylinders,gas,86433.0
kansas city,17980,2008.0,jeep,wrangler,6 cylinders,gas,73133.0
kansas city,6900,2009.0,saturn,aura,6 cylinders,gas,116000.0
kansas city,9980,2013.0,honda,civic,4 cylinders,gas,132853.0
kansas city,34500,1938.0,dodge,,6 cylinders,gas,9000.0
kansas city,9480,2013.0,honda,civic,4 cylinders,gas,112863.0
kansas city,800,1994.0,,geo prizm,4 cylinders,gas,321904.0
kansas city,8997,2007.0,chevrolet,silverado 1500 ext,8 cylinders,gas,199671.0
kansas city,3400,2006.0,honda,accord,4 cylinders,gas,165000.0
kansas city,26995,2017.0,ford,mustang,8 cylinders,gas,51084.0
kansas city,25995,2019.0,subaru,wrx,4 cylinders,gas,10725.0
kansas city,35995,2017.0,chevrolet,silverado 1500,8 cylinders,gas,80991.0
kansas city,36995,2017.0,chevrolet,silverado 2500hd,8 cylinders,diesel,81378.0
kansas city,23330,2016.0,rover,discovery sport,4 cylinders,gas,70024.0
kansas city,13720,2017.0,chevrolet,equinox,4 cylinders,gas,53590.0
kansas city,5200,2007.0,acura,mdx,6 cylinders,gas,166545.0
kansas city,1200,2009.0,nissan,altima s,6 cylinders,gas,67971.0
kirksville,45590,2019.0,ford,f250 super duty crew cab,8 cylinders,diesel,51665.0
kirksville,3000,2007.0,mini,cooper s,4 cylinders,gas,116940.0
